Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
-115.884125  | 630.032104  | 454.812256  | -61.175358  | 454.812256  | 412.770874  | 157
-117.031158  | 630.924072  | 454.077148  | -62.157467  | 454.077148  | 407.961151  | 158
-118.108459  | 631.794250  | 453.365021  | -63.144203  | 453.365021  | 403.235107  | 159
-119.117599  | 632.637695  | 452.674744  | -64.133751  | 452.674744  | 398.593994  | 160
-120.060112  | 633.449951  | 452.005280  | -65.124428  | 452.005280  | 394.039001  | 161
-120.937492  | 634.227112  | 451.355560  | -66.114693  | 451.355560  | 389.571167  | 162
-121.751190  | 634.965881  | 450.724548  | -67.103119  | 450.724548  | 385.191589  | 163
-122.502632  | 635.663330  | 450.111176  | -68.088409  | 450.111176  | 380.901276  | 164
-123.193207  | 636.317078  | 449.514343  | -69.069366  | 449.514343  | 376.701080  | 165
-123.824272  | 636.925110  | 448.933044  | -70.044914  | 448.933044  | 372.591919  | 166
-124.397141  | 637.485840  | 448.366150  | -71.014069  | 448.366150  | 368.574615  | 167
-124.913094  | 637.997925  | 447.812561  | -71.975945  | 447.812561  | 364.649933  | 168
-125.373375  | 638.460327  | 447.271179  | -72.929756  | 447.271179  | 360.818573  | 169
-125.779182  | 638.872375  | 446.740967  | -73.874802  | 446.740967  | 357.081146  | 170
-126.131668  | 639.233582  | 446.220734  | -74.810455  | 446.220734  | 353.438324  | 171
-126.431938  | 639.543701  | 445.709412  | -75.736176  | 445.709412  | 349.890686  | 172
-126.681046  | 639.802673  | 445.205933  | -76.651497  | 445.205933  | 346.438721  | 173
-126.879997  | 640.010559  | 444.709137  | -77.556030  | 444.709137  | 343.082825  | 174
-127.029732  | 640.167725  | 444.218018  | -78.449448  | 444.218018  | 339.823547  | 175
-127.131126  | 640.274414  | 443.731445  | -79.331497  | 443.731445  | 336.661133  | 176
-127.185013  | 640.331177  | 443.248413  | -80.201981  | 443.248413  | 333.596008  | 177
-127.192131  | 640.338684  | 442.767944  | -81.060768  | 442.767944  | 330.628418  | 178
-127.153168  | 640.297607  | 442.289062  | -81.907791  | 442.289062  | 327.758545  | 179
-127.068733  | 640.208679  | 441.810791  | -82.743034  | 441.810791  | 324.986633  | 180
-126.939362  | 640.072815  | 441.332275  | -83.566544  | 441.332275  | 322.312897  | 181
-126.765495  | 639.890808  | 440.852692  | -84.378426  | 440.852692  | 319.737396  | 182
-126.547508  | 639.663635  | 440.371277  | -85.178841  | 440.371277  | 317.260254  | 183
-126.285675  | 639.392395  | 439.887390  | -85.968010  | 439.887390  | 314.881500  | 184
-125.980179  | 639.078003  | 439.400391  | -86.746201  | 439.400391  | 312.601257  | 185
-125.631119  | 638.721558  | 438.909790  | -87.513756  | 438.909790  | 310.419464  | 186
-125.238480  | 638.324219  | 438.415283  | -88.271057  | 438.415283  | 308.336121  | 187
-124.802155  | 637.887207  | 437.916565  | -89.018562  | 437.916565  | 306.351257  | 188
-124.321922  | 637.411743  | 437.413544  | -89.756775  | 437.413544  | 304.464813  | 189
-123.797455  | 636.899048  | 436.906281  | -90.486267  | 436.906281  | 302.676758  | 190
-123.228325  | 636.350647  | 436.395081  | -91.207664  | 436.395081  | 300.987122  | 191
-122.613976  | 635.767883  | 435.880371  | -91.921661  | 435.880371  | 299.395752  | 192
-121.953743  | 635.152405  | 435.362915  | -92.629013  | 435.362915  | 297.902802  | 193
-121.246841  | 634.505981  | 434.843750  | -93.330521  | 434.843750  | 296.508240  | 194
-120.492386  | 633.830322  | 434.324158  | -94.027054  | 434.324158  | 295.212097  | 195
-119.689384  | 633.127686  | 433.805786  | -94.719528  | 433.805786  | 294.014587  | 196
-118.836739  | 632.400269  | 433.290771  | -95.408897  | 433.290771  | 292.915863  | 197
-117.933273  | 631.650635  | 432.781616  | -96.096153  | 432.781616  | 291.916260  | 198
-116.977753  | 630.881714  | 432.281311  | -96.782303  | 432.281311  | 291.016083  | 199
-115.968910  | 630.096802  | 431.793457  | -97.468353  | 431.793457  | 290.215973  | 200
-114.905464  | 629.299622  | 431.322174  | -98.155273  | 431.322174  | 289.516510  | 201
-113.786201  | 628.494324  | 430.872192  | -98.843971  | 430.872192  | 288.918671  | 202
-112.610001  | 627.685669  | 430.448914  | -99.535248  | 430.448914  | 288.423492  | 203
-111.375923  | 626.879089  | 430.058411  | -100.229759  | 430.058411  | 288.032288  | 204
-110.083282  | 626.080566  | 429.707275  | -100.927940  | 429.707275  | 287.746582  | 205
-108.731750  | 625.296753  | 429.402771  | -101.629944  | 429.402771  | 287.568237  | 206
-107.321434  | 624.535034  | 429.152435  | -102.335587  | 429.152435  | 287.499390  | 207
-105.852966  | 623.803406  | 428.964233  | -103.044281  | 428.964233  | 287.542236  | 208
-104.327568  | 623.110352  | 428.846008  | -103.754974  | 428.846008  | 287.699432  | 209
-102.747101  | 622.464661  | 428.805573  | -104.466133  | 428.805573  | 287.973663  | 210
-101.114067  | 621.875488  | 428.849976  | -105.175728  | 428.849976  | 288.367645  | 211
-99.431541  | 621.351807  | 428.985626  | -105.881264  | 428.985626  | 288.884155  | 212
-97.703110  | 620.902405  | 429.217773  | -106.579826  | 429.217773  | 289.525818  | 213
-95.932693  | 620.535583  | 429.550476  | -107.268204  | 429.550476  | 290.294983  | 214
-94.124397  | 620.258972  | 429.986237  | -107.942963  | 429.986237  | 291.193756  | 215
-92.282341  | 620.079346  | 430.526306  | -108.600586  | 430.526306  | 292.223816  | 216
-90.410477  | 620.002563  | 431.170471  | -109.237587  | 431.170471  | 293.386383  | 217
-88.512466  | 620.033691  | 431.917419  | -109.850586  | 431.917419  | 294.682251  | 218
-86.591583  | 620.176880  | 432.764801  | -110.436394  | 432.764801  | 296.111847  | 219
-84.650658  | 620.435547  | 433.709473  | -110.992043  | 433.709473  | 297.675140  | 220
-82.692047  | 620.812317  | 434.747772  | -111.514809  | 434.747772  | 299.371887  | 221
-80.717667  | 621.309448  | 435.875580  | -112.002228  | 435.875580  | 301.201416  | 222
